id,type,color,fill,layer,shape,x,y
121901347,amenity.school,"237,199,199",1,-2.00,"3587.012032,1808.967065 3596.391032,1803.730041 3607.317278,1797.257054 3622.850747,1788.278704 3629.612138,1800.024677 3639.871977,1792.876581 3651.233899,1813.489765 3656.914751,1823.946591 3746.053145,1778.780636 3739.705230,1764.232359 3733.314000,1745.879410 3730.588342,1739.852797 3726.490724,1728.248173 3725.269981,1730.133434 3707.613387,1705.374966 3701.120577,1696.260197 3690.479305,1680.927716 3666.720783,1699.178775 3660.346816,1704.048817 3660.530413,1704.679034 3660.323262,1705.440287 3659.831837,1705.929631 3659.145065,1706.178483 3658.613728,1706.090074 3657.478698,1705.402984 3656.414111,1704.525170 3653.335747,1706.807574 3645.119789,1696.195340 3642.594446,1695.861675 3641.179901,1696.961181 3641.044717,1698.522031 3639.440231,1699.625735 3639.112305,1699.221260 3638.354353,1699.627475 3638.095001,1699.254867 3635.201177,1701.288399 3626.175846,1688.757878 3625.787947,1688.710813 3566.064616,1735.465052 3587.012032,1808.967065",,
188228169,amenity.school,"237,199,199",1,-2.00,"2617.063542,1838.330192 2599.137131,1883.552409 2585.729780,1917.768737 2617.974185,1927.832068 2617.746607,1928.582700 2647.857844,1937.948255 2648.941154,1934.485643 2651.018673,1935.129228 2654.433327,1924.214722 2654.673981,1923.441545 2658.574912,1912.115602 2657.678848,1911.801753 2671.623388,1880.044008 2673.493785,1875.962959 2678.335559,1864.215463 2662.809256,1857.606842 2655.407385,1854.678398 2617.063542,1838.330192",,
234463934,amenity.school,"237,199,199",1,-2.00,"3742.399836,1392.222208 3725.643054,1379.060983 3706.732697,1364.278229 3707.018674,1363.704407 3705.463020,1362.414575 3706.687322,1359.149414 3695.040746,1349.959277 3674.870164,1334.058327 3674.002073,1335.012218 3665.328440,1328.594018 3653.592918,1320.607718 3648.617795,1327.371926 3647.368481,1326.431427 3637.435979,1339.225050 3636.781743,1340.641581 3636.553338,1341.670366 3636.611438,1343.071159 3636.821985,1344.613241 3638.000796,1346.356482 3640.065627,1347.957744 3639.048637,1349.237631 3637.892866,1350.687499 3627.768028,1363.374119 3623.972020,1360.219872 3608.614184,1379.665347 3594.900559,1368.473649 3582.582710,1385.114628 3596.101249,1395.464906 3611.778046,1399.669599 3610.690825,1401.763360 3620.722407,1404.212285 3636.375508,1407.961348 3652.575102,1410.641265 3658.506285,1411.211273 3672.917298,1411.582848 3686.091362,1410.958046 3696.991412,1409.092697 3700.472188,1408.426069 3707.974718,1406.079393 3731.880672,1390.128753 3738.706023,1395.230300 3742.399836,1392.222208",,
23816407,amenity.school,"237,199,199",1,-2.00,"3264.719755,1627.211673 3282.749737,1631.652440 3280.703643,1643.448571 3281.366352,1643.645304 3297.055905,1645.077914 3301.568230,1625.126216 3267.162230,1616.764315 3260.212438,1614.937698 3260.049870,1615.564449 3251.654757,1613.447192 3250.912354,1616.390220 3247.404029,1615.499918 3243.236532,1632.016717 3262.110164,1637.774013 3264.719755,1627.211673",,
254618264,amenity.school,"237,199,199",1,-2.00,"3405.592132,1867.762632 3409.644177,1856.745577 3413.816507,1845.336396 3411.354263,1844.478457 3418.968510,1823.612482 3416.864234,1821.144236 3412.259937,1811.209084 3411.420322,1809.458386 3423.721880,1803.499778 3424.486135,1805.218764 3428.628194,1813.895613 3429.228902,1815.584838 3430.775244,1820.135178 3442.083131,1822.021329 3445.078457,1822.433506 3448.836243,1822.951210 3448.505490,1822.112833 3466.726428,1825.103432 3466.405716,1825.945101 3465.404850,1828.559987 3455.614331,1854.136526 3433.269802,1912.572685 3430.619204,1913.321284 3427.487952,1914.737057 3423.348757,1917.833165 3400.868664,1910.975634 3403.220488,1904.091190 3393.218702,1899.883916 3394.366057,1896.531345 3405.592132,1867.762632",,
321046049,amenity.school,"237,199,199",1,-2.00,"3129.814665,1965.714216 3144.379047,1921.091730 3134.676916,1918.469577 3129.363648,1916.974036 3104.271852,1909.886520 3097.407469,1914.946259 3094.142274,1917.355583 3085.027492,1924.067703 3065.409265,1940.660843 3102.294575,1955.008512 3129.814665,1965.714216",,
583306357,amenity.school,"237,199,199",1,-2.00,"1979.805681,1946.193422 1976.841402,1945.959486 1954.315486,1944.117032 1951.847387,1943.916486 1941.007963,1943.269554 1945.776512,1883.284180 1982.704670,1886.650647 2001.831632,1888.235656 2009.282989,1888.814064 2027.181631,1890.404469 2036.473402,1879.535722 2048.379645,1888.104144 2041.218861,1923.483976 2029.681249,1949.202965 1979.805681,1946.193422",,
643934454,amenity.school,"237,199,199",1,-2.00,"3700.614468,1919.490887 3714.362775,1914.814113 3718.726958,1913.293407 3729.979296,1909.606515 3740.518014,1906.180210 3732.938775,1889.956608 3744.484952,1885.128249 3745.281770,1886.790924 3744.428872,1887.199219 3745.865906,1890.194198 3746.678595,1889.809046 3748.393439,1893.398783 3747.587534,1893.783785 3749.067230,1896.866844 3749.879917,1896.481693 3751.594511,1900.060308 3750.788853,1900.456432 3751.742176,1902.137908 3755.209200,1909.472348 3764.761015,1929.591607 3768.218273,1936.792739 3752.173411,1942.577181 3740.222147,1946.880346 3727.184929,1951.485710 3723.974340,1952.691619 3713.384661,1956.263747 3698.535803,1961.498959 3685.909530,1925.101294 3689.247539,1923.825780 3700.614468,1919.490887",,
