id,from,to,priority,type,shape,name,spreadType,bidi,distance
195411604,1864428519,cluster_25664680_4603453154_577258918,11,highway.secondary,"[3835.36, 1564.21]",Friedrichstraße,center,,
196520271#0,cluster_26934351_8296993387,8296993386,3,highway.residential,"[3821.95, 1572.82]",Charitéstraße,center,,
196520271#1,8296993386,cluster_2644068266_26747947,3,highway.residential,"[3819.87, 1566.07]",Charitéstraße,center,,
196844844,27412237,2071374914,19,railway.light_rail,"[3817.65, 1559.01]",,center,-196844844,
196844845,2071374916,2071374906,20,railway.rail,"[3832.27, 1840.03]",,center,,
196844846,29805124,2071374815,20,railway.rail,"[3908.91, 1986.71]",,center,,
196844847,2071375005,2071374989,19,railway.light_rail,"[3905.81, 1980.56]",,center,-196844847,
196844848,2071374842,2071374871,19,railway.light_rail,"[3919.47, 1971.9]",,center,,
196850609#0,cluster_2071423335_25662916_4591015614_4591015618_4591015622_4591015626_5824647398,2071423347,11,highway.secondary,"[3913.05, 1973.62]",Friedrichstraße,center,,
196850609#2,2071423357,20246257,11,highway.secondary,"[3913.05, 1973.62]",Friedrichstraße,center,,
196850622,4591015619,2071423309,1,highway.footway,"[3812.28, 2001.7]",,center,,
196850624#0,2071423345,2071423346,1,highway.footway,"[3813.62, 2007.6]",,center,,
196850624#1,2071423346,2071423347,1,highway.footway,"[3737.71, 1871.11]",,center,,
196850626#1,2071423355,2071423356,1,highway.footway,"[3715.79, 1878.5]",,center,,
196850626#2,2071423356,2071423357,1,highway.footway,"[3620.81, 1909.78]",,center,,
196850626#3,2071423357,4591015604,1,highway.footway,"[3657.4, 2029.17]",,center,,
196850626#4,4591015604,4591015625,1,highway.footway,"[3796.46, 1998.67]",,center,,
19801533,262467975,cluster_2121324871_3151820959_5390538238_9583740891_9583740892,12,highway.primary,"[3746.75, 1869.02]",Grunerstraße,center,,
198495314,cluster_2086246928_28373974,1920295914,1,highway.footway,"[3742.73, 1870.44]",,center,,
199325270,4451785042,2093326528,19,railway.light_rail,"[3797.86, 2004.85]",,center,,
199325271,4451785041,2093326523,19,railway.light_rail,"[3803.08, 1997.13]",,center,,
199425790#0,2094266862,298352344,18,railway.subway,"[3803.08, 1997.13]",,center,,
199425790#3,2094266900,2094267036,18,railway.subway,"[3991.54, 1936.29]",,center,,
199425792,2094266900,2094266911,18,railway.subway,"[3945.1, 1965.18]",,center,,
199425794,2094266923,2094266949,18,railway.subway,"[3942.69, 1965.9]",,center,-199425794,
199425795#4,2094266949,2094267023,18,railway.subway,"[3897.53, 1825.35]",,center,199425808,
199425808,2094267023,2094266949,18,railway.subway,"[3902.18, 1823.75]",,center,199425795#4,
199579024#1,2095738486,2095738494,18,railway.subway,"[3907.2, 1821.55]",,center,,
199579024#2,2095738494,2095738511,18,railway.subway,"[4087.83, 1964.37]",,center,-199579024#2,
199579028#1,2095738490,2095738496,18,railway.subway,"[4006.39, 1958.17]",,center,,
199579028#2,2095738496,2095738506,18,railway.subway,"[4098.37, 1958.72]",,center,-199579028#2,
200422335#0,2917710988,2094267054,18,railway.subway,"[3968.34, 1798.69]",,center,,
200422335#1,2094267054,2094267040,18,railway.subway,"[3987.36, 1872.19]",,center,,
201178326,2111288336,2111288338,19,railway.light_rail,"[4002.59, 1896.36]",,center,,
201178327,2111288342,2111288337,19,railway.light_rail,"[4045.82, 1734.67]",,center,,
201685782,2046756040,2046756037,1,highway.service,"[3991.54, 1936.29]",,,,
202156991,1473258664,6658846852,2,highway.living_street,"[3994.54, 1921.91]",Bodestraße,,,
202156994#0,341340986,cluster_1827996421_1827996431_1827996436_1827996440_1827996455_1865536623_1865536624_2121324874_21487210_29221504_29221506_341340973_3792418585_3792418589_3792418616_3792418629_3792418630_3792418641_3792418767_3792418791_6795935364_6795935365,12,highway.primary,"[4060.67, 1741.72]",Karl-Liebknecht-Straße,center,,
202156998#2,7286209508,31154797,1,highway.pedestrian,"[4045.62, 1795.25]",Poststraße,center,,
202157002#1,cluster_1157325166_31160643,cluster_1827996421_1827996431_1827996436_1827996440_1827996455_1865536623_1865536624_2121324874_21487210_29221504_29221506_341340973_3792418585_3792418589_3792418616_3792418629_3792418630_3792418641_3792418767_3792418791_6795935364_6795935365,10,highway.tertiary,"[4048.7, 1798.86]",Spandauer Straße,center,,
202157003#1,1474316003,1473296997,1,highway.service,"[4048.7, 1798.86]",,,,
202157003#2,1473296997,5481132473,1,highway.service,"[4013.47, 1934.49]",,,,
202157011,540683017,2121324841,1,highway.footway,"[4015.28, 1937.07]",,center,,
202157018#0,2381159858,174969324,1,highway.footway,"[4017.27, 1937.17]",,center,,
202157018#1,174969324,2381159855,1,highway.footway,"[4092.94, 1893.97]",,center,,
202157018#2,2381159855,171440822,1,highway.footway,"[4149.11, 1867.72]",,center,,
202157020,2121324895,2121324897,1,highway.footway,"[4149.11, 1867.72]",,center,,
202157022,2121324890,2121324892,1,highway.footway,"[4156.59, 1860.9]",,center,,
202157023#0,2381159850,174969324,1,highway.footway,"[4209.36, 1836.18]",,center,,
202157023#1,174969324,3792411126,1,highway.footway,"[4228.84, 1825.0]",,center,,
202157026#0,2381159806,174969323,1,highway.footway,"[4111.06, 1780.41]",,center,,
202157026#1,174969323,2381159850,1,highway.footway,"[4111.06, 1780.41]",,center,,
202157026#2,2381159850,2381159847,1,highway.footway,"[4007.53, 1957.54]",,center,,
202157028#0,10196188861,2121324881,1,highway.footway,"[4009.89, 1948.4]",,center,,
202157028#1,2121324881,cluster_2121324871_3151820959_5390538238_9583740891_9583740892,1,highway.footway,"[4013.47, 1934.49]",,center,,
202157030,1472911083,2121324866,1,highway.footway,"[4118.6, 1771.12]",,center,,
202157031#3,5473650618,cluster_1473258683_1474045661,1,highway.service,"[4112.49, 1768.34]",,,,
202157031#4,cluster_1473258683_1474045661,1473258672,1,highway.service,"[4044.06, 1812.14]",,,,
202157031#5,1473258672,1473258660,1,highway.service,"[4046.75, 1805.9]",,,,
202162471,196693480,2121378263,1,highway.service,"[4048.7, 1798.86]",,,,
202817674#0,262479941,9015926604,3,highway.residential,"[4061.72, 1725.88]",Schloßplatz,,,
202817676,2127558933,29207821,1,highway.footway,"[4151.1, 1767.45]",,center,,
203422459,6439731007,2134323783,19,railway.light_rail,"[4153.63, 1766.26]",,center,-203422459,
203985625,7145870041,5416774418,1,highway.footway,"[4154.25, 1765.18]",,center,,
205728152#1,5284901277,538794859,1,highway.footway,"[4060.67, 1741.72]",Bebelplatz,center,,
205728152#2,538794859,9554352432,1,highway.footway,"[3955.69, 1750.6]",Bebelplatz,center,,
205728152#4,365516693,6564393255,1,highway.footway,"[3957.18, 1755.99]",Bebelplatz,center,,
205728152#5,6564393255,6564393259,1,highway.footway,"[4059.93, 1471.25]",Bebelplatz,center,,
205728152#6,6564393259,5284901277,1,highway.footway,"[4026.66, 1438.4]",Bebelplatz,center,,
207364191#1,cluster_1575952530_4590472023_538717882,cluster_1208647794_1673585751_4590472048,17,railway.tram,"[4112.2, 1670.3]",,center,,
207364192#1,cluster_29192958_3378459483_4121410267_4590472025_8305578762_8305578765,cluster_4590472045_4590472046,17,railway.tram,"[4112.2, 1670.3]",,center,,
207364192#2,cluster_4590472045_4590472046,3269783482,17,railway.tram,"[4111.03, 1664.33]",,center,,
207364192#3,3269783482,1673585717,17,railway.tram,"[4123.63, 1663.92]",,center,,
207364192#4,1673585717,8305578763,17,railway.tram,"[4122.11, 1657.48]",,center,,
207364192#5,8305578763,cluster_1208647794_1673585751_4590472048,17,railway.tram,"[4296.74, 1793.48]",,center,,
222328410,cluster_1769589042_8305578767_8305578768_9962290100_9962315444_9975087425,1769589022,11,highway.secondary,"[4147.17, 1511.07]",Friedrichstraße,,,
222470308#1,10053209425,cluster_160503146_1633759809_27411250_311264850_5372980361_5727160041_5727160042_5727160043_5727160044_5727160045,1,highway.footway,"[4137.52, 1498.63]",,center,,
225400578#1,cluster_2341815018_26871465_9068723928_9821581099,2341815036,3,highway.residential,"[4203.62, 1485.07]",Krausnickstraße,,,
225400578#2,2341815036,1503717543,3,highway.residential,"[4183.18, 1519.17]",Krausnickstraße,,,
225400578#3,1503717543,cluster_27412195_9830716404_9945558803,3,highway.residential,"[4078.18, 1503.34]",Krausnickstraße,,,
225400588#0,4567083484,4567083486,1,highway.footway,"[4073.82, 1498.28]",,center,,
225400588#1,4567083486,9820547949,1,highway.footway,"[4073.82, 1498.28]",,center,,
225400606#1,9821581100,5176483647,1,highway.footway,"[4066.7, 1490.03]",,center,,
225400609#1,1162828964,1287970451,1,highway.footway,"[4060.11, 1482.2]",,center,,
225400609#2,1287970451,1287970560,1,highway.footway,"[3980.55, 1483.93]",,center,,
225400609#3,1287970560,1287970499,1,highway.footway,"[3946.53, 1487.54]",,center,,
225400609#4,1287970499,1162829005,1,highway.footway,"[3940.33, 1355.77]",,center,,
225400609#5,1162829005,1162828999,1,highway.footway,"[3942.81, 1484.65]",,center,,
22820560#0,cluster_25664680_4603453154_577258918,4590472040,17,railway.tram,"[3928.06, 1496.82]",,center,,
22820560#1,cluster_1673527106_1673527109,cluster_25664680_4603453154_577258918,17,railway.tram,"[3846.56, 1418.71]",,center,,
22820560#2,cluster_1864428533_1864428534,cluster_1673527106_1673527109,17,railway.tram,"[3830.01, 1427.48]",,center,,
228484735,9830716375,2371605812,1,highway.footway,"[3787.28, 1444.85]",,center,,
228484736,9830716373,2371605814,1,highway.footway,"[3783.79, 1446.06]",,center,,
229531156,2656298172,2381159785,1,highway.footway,"[3906.15, 1508.06]",,center,,
229531161#0,2381159847,2381159858,1,highway.footway,"[3527.59, 1927.48]",,center,,
229531161#1,2381159858,9288041064,1,highway.footway,"[3529.95, 1929.55]",,center,,
229531162#0,2381159814,2381159785,1,highway.footway,"[3527.25, 1937.28]",,center,,
229531162#1,2381159785,2381159770,1,highway.footway,"[3527.42, 1933.2]",,center,,
22962554#1,30731499,cluster_1987191204_29219465_30731504_4673135645_4673135646_6447810050_9891678215,17,railway.tram,"[3609.14, 1904.33]",,center,,
22972195#2,cluster_25664680_4603453154_577258918,1864428522,11,highway.secondary,"[3610.73, 1908.93]",Friedrichstraße,center,,
22972219#0,247601437,4590472049,3,highway.residential,"[3612.11, 1912.93]",Am Kupfergraben,center,,
22972454,26701256,4745324439,3,highway.residential,"[3616.35, 1911.5]",Planckstraße,,,
