id,from,to,priority,type,shape,name,spreadType,bidi,distance
-82658674#4,cluster_2086246928_28373974,1182601207,3,highway.residential,"4102.82,601.92 4103.00,605.99 4106.63,627.22 4109.92,652.75 4113.30,704.60",Klosterstraße,,,
-831860725#2,cluster_160514854_283035794,cluster_3922684684_3922684686_3922684691_545036683,3,highway.residential,"3126.57,563.47 3129.52,554.19 3131.19,548.92 3147.48,497.73",Werderscher Markt,,,
-844076875#0,5481132459,26747821,3,highway.residential,"2171.73,1498.79 2174.94,1489.73 2187.08,1457.51",Albrechtstraße,,,
-844076875#3,26747918,1445622300,3,highway.residential,"2147.03,1551.49 2151.71,1550.05 2154.59,1547.38",Albrechtstraße,,,
-84960597#2,cluster_4673135622_735132788,5534476067,10,highway.tertiary,"3481.07,1530.47 3497.45,1572.59",Rosenthaler Straße,,,
-863415781#0,cluster_9583740872_9583740875_9709306063,437610024,1,highway.service,"4012.92,922.15 4012.35,922.86",,,,
-874505504,8140749790,2425782615,1,highway.service,"3651.31,1415.52 3664.69,1415.50 3679.48,1416.22 3697.22,1414.50 3707.90,1411.91 3720.71,1407.80 3740.34,1400.62 3746.19,1396.08 3747.82,1394.82 3751.92,1387.81",,,,
-874528353#4,25662542,2882465305,3,highway.residential,"2321.30,585.85 2333.55,586.93 2336.85,587.21 2427.55,595.21",Behrenstraße,,,
-882389497,2045820585,20246257,11,highway.secondary,"2518.32,664.53 2523.20,611.35 2523.93,603.41",Friedrichstraße,,,
-893334271,8302829585,262482618,1,highway.service,"2261.62,1053.42 2269.23,1053.62 2279.69,1054.37",,,,
-899946801#0,8361403526,8361403527,1,highway.service,"2822.38,499.48 2823.49,483.32 2831.59,468.13",,,,
-92437984#0,1073123750,26734307,1,highway.service,"1590.34,951.73 1590.74,964.95 1590.72,983.23 1589.69,995.89 1587.73,1007.22 1583.89,1024.15 1578.09,1041.94",Platz der Republik,,,
-92437984#1,1352310810,1073123750,1,highway.service,"1569.42,860.15 1578.02,878.44 1580.52,883.86 1584.26,896.30 1587.04,908.62 1588.84,920.86 1590.08,938.28 1590.34,951.73",Platz der Republik,,,
-92671070,1074960870,cluster_1074960874_8234010054,1,highway.service,"1838.31,1306.62 1827.09,1288.05 1826.34,1286.81",,,,
-930343901#0,3343070516,2959830776,3,highway.residential,"2232.90,924.21 2272.12,927.63 2274.63,927.84 2289.94,929.18",Dorotheenstraße,,,
-931745735,8637889050,8637889051,1,highway.service,"3478.51,763.79 3488.45,749.81 3495.13,743.90 3511.52,719.15",,,,
-942234138#0,8725243868,8725243860,1,highway.service,"2749.89,1431.40 2748.68,1428.05 2747.60,1424.94 2734.32,1429.77",,,,
-942234139,8725243830,8725243868,1,highway.service,"2739.30,1442.85 2752.25,1438.05 2751.06,1434.74 2749.89,1431.40",,,,
-942849697,8730811968,5974085816,18,railway.subway,"2981.23,808.83 3014.06,806.88 3037.37,804.05 3061.33,800.24 3133.51,788.24 3144.89,786.01 3256.11,764.04",C,center,942849697,
-942849698,5974085816,6494918328,18,railway.subway,"3256.11,764.04 3287.18,759.17 3320.34,756.25 3349.80,755.68 3379.75,757.24 3412.64,761.83 3440.96,767.67 3468.43,774.79 3503.66,787.26 3539.21,801.86 3597.83,825.68 3662.31,852.25 3710.30,871.31 3743.57,886.11 3774.76,901.47 3785.88,909.19 3842.77,947.03 3868.32,964.56 3921.96,1002.10 3969.58,1036.01 3986.46,1047.94 4036.58,1086.61",C,center,-199425795#0,
-949912614#0,8793912191,10247148373,1,highway.cycleway,"4088.73,1109.55 4091.38,1112.74 4097.92,1119.66 4105.38,1127.62 4118.24,1137.63",,,,
-949912614#1,8793912194,8793912191,1,highway.cycleway,"4030.31,1064.97 4051.10,1080.06 4085.55,1105.97 4088.73,1109.55",,,,
-949912614#2,8793912192,8793912194,1,highway.cycleway,"3867.08,946.43 3870.16,948.68 4030.31,1064.97",,,,
-950222546#0,10247148373,8793912196,1,highway.cycleway,"4118.24,1137.63 4128.32,1145.47 4136.27,1151.81 4139.90,1153.13",,,,
-955672359#0,9830554067,8844772163,1,highway.service,"3528.39,1684.81 3526.39,1685.51 3510.85,1691.74 3467.70,1712.72",,,,
-955672359#1,cluster_8844772165_9828787615,9830554067,1,highway.service,"3534.78,1682.58 3528.39,1684.81",,,,
-955768000,8845754229,652771230,1,highway.path,"3026.86,1420.75 3016.30,1418.13 2997.67,1409.29 2980.17,1400.91 2972.87,1396.50 2966.64,1390.52",,,,
-972461860,3761697844,9000393191,1,highway.service,"3740.94,1342.34 3740.48,1336.86 3775.76,1292.60",,,,
-977762573,cluster_29039235_8098189824_8296993395_8296993396,550663633,3,highway.residential,"1715.60,1399.57 1718.59,1403.01 1731.49,1419.34 1735.20,1423.83",Unterbaumstraße,,,
-977762574,cluster_3342715710_9047162840,1360380109,1,highway.service,"1684.89,1922.53 1679.38,1918.94",,,,
-979668824#0,cluster_27411994_9829191555_9891678205_9891678206_9891723325,cluster_21487185_779036561_9443073373_9443073375_9891723339,3,highway.residential,"3877.76,1388.86 3864.66,1398.66 3847.43,1408.65 3834.00,1415.77 3818.97,1423.03 3804.09,1429.06 3784.54,1436.94",Dircksenstraße,,,
-980542375#1,cluster_26871578_9820536013,cluster_25954550_9820547956_9824210252_9830554073_9830554074,3,highway.residential,"3090.50,1860.25 3141.65,1874.06 3159.82,1878.96",Auguststraße,,,
100113531#1,1157325174,cluster_1157325170_8305561228,1,highway.footway,"3545.12,1158.16 3541.81,1155.92 3544.02,1152.90 3540.23,1152.36",,center,,
100113531#3,cluster_1157325170_8305561228,cluster_1157325166_31160643,1,highway.footway,"3536.54,1151.75 3533.48,1151.15 3536.30,1147.47 3533.64,1145.18",,center,,
100113531#4,cluster_1157325166_31160643,10053209446,1,highway.footway,"3533.64,1145.18 3525.65,1139.19",,center,,
100113532,1157325158,1841260109,1,highway.footway,"3624.91,1089.15 3630.17,1093.31 3631.41,1091.82",,center,,
1003347119,8110783751,cluster_9566521507_9566521508,1,highway.footway,"1906.57,1242.35 1910.47,1202.98",,center,,
1003347120#0,8110783751,cluster_288070957_8234010065_8234010067_8296993383,1,highway.footway,"1906.57,1242.35 1915.68,1241.89",,center,,
1003347120#1,cluster_288070957_8234010065_8234010067_8296993383,8234010064,1,highway.footway,"1915.68,1241.89 1923.61,1241.45",,center,,
1003347121#0,8234010060,cluster_288070957_8234010065_8234010067_8296993383,1,highway.footway,"1905.80,1251.94 1915.04,1250.20",,center,,
1003347121#1,cluster_288070957_8234010065_8234010067_8296993383,8234010066,1,highway.footway,"1915.04,1250.20 1923.00,1248.66",,center,,
1003347122#0,9258957564,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,1,highway.footway,"1936.53,909.90 1944.99,910.87",,center,,
1003347122#1,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,9258957563,1,highway.footway,"1944.99,910.87 1952.21,911.66",,center,,
1003347123#0,9258957566,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,1,highway.footway,"1939.45,877.87 1947.90,878.70",,center,,
1003347123#1,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,9258957565,1,highway.footway,"1947.90,878.70 1955.15,879.39",,center,,
1003347124#1,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,9258957563,1,highway.footway,"1953.29,899.81 1952.21,911.66",,center,,
1003347124#2,9258957563,8110783779,1,highway.footway,"1952.21,911.66 1949.15,945.08 1947.01,970.37",,center,,
1003347124#3,8110783779,cluster_26861434_8110783771,1,highway.footway,"1947.01,970.37 1946.23,979.61",,center,,
1003347124#4,cluster_26861434_8110783771,cluster_26747882_8296993384,1,highway.footway,"1946.23,979.61 1945.56,987.57 1940.33,1045.41 1938.39,1066.58 1937.81,1072.88",,center,,
1003347125#2,9258957564,cluster_5394001565_5394001566_6400342990_6400342991_8110783758_8110783770,1,highway.footway,"1936.53,909.90 1938.82,885.06",,center,,
100405009#1,cluster_1630500711_1828018077_1828018084_1828018088_1828018093_1828018094_1840326399_1840326416_1840326419_262469034_29123671_29123672_3832550626_3832550632_6795935360_6795935361_6795935362_9218266282_9218266283_9220398901_9220398902_9220398903_9220398904_9220398905_967017837_967017877,1266415965,12,highway.primary,"4124.69,1482.07 4126.62,1480.52 4148.04,1463.30",Alexanderstraße,center,,
100405009#3,2054664440,1275468905,12,highway.primary,"4176.36,1441.04 4204.47,1418.61 4210.87,1413.47 4214.37,1410.67",Alexanderstraße,center,,
1004696014,338237432,9269743902,1,highway.footway,"1718.64,1176.37 1719.61,1176.35 1719.59,1175.45 1719.61,1165.84 1710.42,1155.93",,center,,
1006720290#1,9288041069,9288041073,1,highway.footway,"3468.25,939.46 3476.74,944.30 3536.51,987.64",,center,,
